기준년월,순위번호,도서명정보,저자명정보,출판사명,출판년도,권수(권),도서이미지URL
2023-05,54,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,4,https://image.aladin.co.kr/product/30519/98/cover/k282830494_1.jpg
2023-05,55,(서울 자가에 대기업 다니는) 김 부장 이야기,송희구 지음,서삼독,2021,1,https://image.aladin.co.kr/product/27794/22/cover/k862734063_1.jpg
2023-05,56,희망의 끈,"히가시노 게이고 (지은이), 김난주 (옮긴이)",재인,2022,,https://image.aladin.co.kr/product/30912/33/cover/k612831580_2.jpg
2023-05,56,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,2022,4,https://image.aladin.co.kr/product/28932/34/cover/8934930543_1.jpg
2023-05,58,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,1,https://image.aladin.co.kr/product/29683/83/cover/k122838384_1.jpg
2023-05,59,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,2021,1,https://bookthumb-phinf.pstatic.net/cover/180/044/18004469.jpg?type=m1&udate=20210218
2023-05,60,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,2,https://image.aladin.co.kr/product/27144/52/cover/k372731447_1.jpg
2023-05,61,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,3,https://shopping-phinf.pstatic.net/main_3717418/37174189624.20230114071126.jpg
2023-05,61,이토록 평범한 미래 :김연수 소설,지은이: 김연수,문학동네,2022,,https://image.aladin.co.kr/product/30211/80/cover/8954680003_1.jpg
2023-05,63,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,1,https://image.aladin.co.kr/product/27982/44/cover/k832734228_1.jpg
2023-05,64,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,2,https://image.aladin.co.kr/product/30340/91/cover/k052839448_1.jpg
2023-05,65,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,1,https://image.aladin.co.kr/product/19610/47/cover/k282635522_1.jpg
2023-05,66,흔한남매 과학 탐험대 3 : 인체,"흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)",주니어김영사,2021,3,https://image.aladin.co.kr/product/28386/25/cover/8934983434_1.jpg
2023-05,67,스즈메의 문단속,신카이 마코토 지음 ;민경욱 옮김,대원씨아이,2023,,https://image.aladin.co.kr/product/30876/42/cover/k892831289_1.jpg
2023-05,68,호랭떡집,글·그림: 서현,사계절(사계절출판사),2023,,https://image.aladin.co.kr/product/30883/30/cover/k962831389_1.jpg
2023-05,68,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,8,https://image.aladin.co.kr/product/30881/96/cover/k672831283_1.jpg
2023-05,70,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,3,https://image.aladin.co.kr/product/29321/37/cover/k362837717_1.jpg
2023-05,71,흔한남매 과학 탐험대 5 : 물리 1,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,5,https://image.aladin.co.kr/product/29615/64/cover/8934940751_1.jpg
2023-05,72,오싹오싹 크레용!,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2022,,https://image.aladin.co.kr/product/30021/16/cover/8964964764_1.jpg
2023-05,73,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,2,https://image.aladin.co.kr/product/28393/27/cover/k592835817_1.jpg
2023-05,74,긴긴밤,루리 글·그림,문학동네,2021,,https://image.aladin.co.kr/product/26302/71/cover/8954677150_1.jpg
2023-05,74,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,10,https://image.aladin.co.kr/product/25801/42/cover/k252736232_1.jpg
2023-05,76,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg
2023-05,77,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,1,https://image.aladin.co.kr/product/23331/23/cover/k012637918_1.jpg
2023-05,78,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,3,https://image.aladin.co.kr/product/27833/74/cover/k162734674_1.jpg
2023-05,79,원씽 :복잡한 세상을 이기는 단순함의 힘,"게리 켈러,구세희 옮김",비즈니스북스,2013,,https://bookthumb-phinf.pstatic.net/cover/072/793/07279338.jpg?type=m1&udate=20171117
2023-05,80,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,,https://image.aladin.co.kr/product/27407/79/cover/k362732558_1.jpg
2023-05,81,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,2,https://image.aladin.co.kr/product/25493/95/cover/k372633927_1.jpg
2023-05,82,(서울 자가에 대기업 다니는) 김 부장 이야기,송희구 지음,서삼독,2021,2,https://image.aladin.co.kr/product/27794/38/cover/k752734064_1.jpg
2023-05,83,겨울 이불 :안녕달 그림책,지은이: 안녕달,창비,2023,,https://image.aladin.co.kr/product/30722/20/cover/8936455966_1.jpg
2023-05,84,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg
2023-05,85,이상한 과자 가게 전천당 17,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)",길벗스쿨,2023,17,https://image.aladin.co.kr/product/31313/67/cover/k722832881_1.jpg
2023-05,86,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,8,https://image.aladin.co.kr/product/30411/39/cover/k002830264_1.jpg
2023-05,87,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,1,http://image.aladin.co.kr/product/10016/32/cover/k512536564_2.jpg
2023-05,88,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,2,https://image.aladin.co.kr/product/24050/77/cover/k252639625_1.jpg
2023-05,89,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,1,https://image.aladin.co.kr/product/28963/14/cover/k832836617_1.jpg
2023-05,90,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,1,https://image.aladin.co.kr/product/24605/89/cover/k652631174_1.jpg
2023-05,91,흔한남매 과학 탐험대 6 : 물리 2,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,6,https://image.aladin.co.kr/product/30479/22/cover/8934946792_1.jpg
2023-05,91,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,4,https://image.aladin.co.kr/product/28344/0/cover/k342835103_1.jpg
2023-05,93,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,3,https://image.aladin.co.kr/product/26236/31/cover/k012738287_1.jpg
2023-05,93,(서울 자가에 대기업 다니는) 김 부장 이야기,송희구 지음,서삼독,2021,3,https://image.aladin.co.kr/product/28294/44/cover/k702835095_1.jpg
2023-05,95,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,7,https://image.aladin.co.kr/product/29691/86/cover/k742838586_1.jpg
2023-05,96,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9,https://image.aladin.co.kr/product/22712/95/cover/k102636135_1.jpg
2023-05,97,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,6,https://image.aladin.co.kr/product/28974/55/cover/k902836928_1.jpg
2023-05,98,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,팀 페리스 지음 ;정지현 옮김,Tornado(토네이도),2017,,http://image.aladin.co.kr/product/10590/57/cover/k162530537_1.jpg
2023-05,99,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,2,https://image.aladin.co.kr/product/29639/96/cover/k492838579_1.jpg
2023-05,100,나미야 잡화점의 기적 :히가시노 게이고 장편소설,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,http://image.aladin.co.kr/product/15848/6/cover/k622533431_1.jpg
2023-05,101,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,4,https://image.aladin.co.kr/product/27643/74/cover/k052733229_1.jpg
2023-05,102,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,5,https://image.aladin.co.kr/product/28259/9/cover/k882835381_1.jpg
2023-05,103,"시선으로부터, :정세랑 장편소설",지은이: 정세랑,문학동네,2020,,https://image.aladin.co.kr/product/24131/37/cover/8954672213_1.jpg
2023-05,104,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이",지나영 지음,21세기북스(북이십일 21세기북스),2022,,https://image.aladin.co.kr/product/30177/32/cover/8950941813_1.jpg
2023-05,105,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설,지은이: 김초엽,허블,2019,,https://image.aladin.co.kr/product/19359/16/cover/s972635417_1.jpg
2023-05,106,당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,정희원 지음,길벗,2023,,https://image.aladin.co.kr/product/30720/48/cover/k102830242_1.jpg
